診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
00101B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（１）處方交付特約藥局調劑,,286,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00102B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（３）未開處方或處方由本院所自行調劑,,286,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00105B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（１）處方交付特約藥局調劑,,286,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00106B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（３）未開處方或處方由本院所自行調劑,,286,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00107B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（１）處方交付特約藥局調劑,,288,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00108B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（３）未開處方或處方由本院所自行調劑,,288,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00109C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（1-1）處方交付特約藥局調劑(1-30人次）,,364,113.04.01,999.12.31,診察費,"通則12：未滿四歲兒童不限科別各項門診診察費得依表定點數加計百分之二十。婦產科、外科及內科之專科醫師：加計百分之十三；整形外科、骨科、泌尿科及神經外科之專科醫師：診治未滿四歲兒童加計百分之十三，診治四歲以上者加計百分之十；其餘專科醫師：診治未滿四歲兒童加計百分之十三，診治四歲以上者加計百分之九。
因註內容過多無法容納，請詳醫療費用支付標準。",
00110C,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（3-1）未開處方或處方由本院所自行調劑(1-30人次),,364,113.04.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00111C,一般門診診察費－基層院所門診診察費  ２．每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（１）處方交付特約藥局調劑,,220,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00112C,一般門診診察費–基層院所門診診察費　２．每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（３）未開處方或處方由本院所自行調劑,,220,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00113C,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）(1)處方交付特約藥局調劑,,160,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
